"filename", "language", "PHP", "JavaScript", "XML", "YAML", "CSS", "JSON", "HTML (Twig)", "comment", "blank", "total"
"c:\Users\wildm\Desktop\Class\Greenwich\WEB301\Assignment\GCH1002-Web301-Assignment-ShoppingCart\ShoppingCart\templates\order_info\index.html.twig", "HTML (Twig)", 0, 0, 0, 0, 0, 0, 16, 0, 5, 21
"c:\Users\wildm\Desktop\Class\Greenwich\WEB301\Assignment\GCH1002-Web301-Assignment-ShoppingCart\ShoppingCart\templates\product\add.html.twig", "HTML (Twig)", 0, 0, 0, 0, 0, 0, 8, 0, 2, 10
"c:\Users\wildm\Desktop\Class\Greenwich\WEB301\Assignment\GCH1002-Web301-Assignment-ShoppingCart\ShoppingCart\templates\product\detail.html.twig", "HTML (Twig)", 0, 0, 0, 0, 0, 0, 38, 1, 2, 41
"c:\Users\wildm\Desktop\Class\Greenwich\WEB301\Assignment\GCH1002-Web301-Assignment-ShoppingCart\ShoppingCart\templates\product\edit.html.twig", "HTML (Twig)", 0, 0, 0, 0, 0, 0, 9, 0, 2, 11
"c:\Users\wildm\Desktop\Class\Greenwich\WEB301\Assignment\GCH1002-Web301-Assignment-ShoppingCart\ShoppingCart\templates\product\index.html.twig", "HTML (Twig)", 0, 0, 0, 0, 0, 0, 48, 1, 1, 50
"c:\Users\wildm\Desktop\Class\Greenwich\WEB301\Assignment\GCH1002-Web301-Assignment-ShoppingCart\ShoppingCart\templates\registration\register.html.twig", "HTML (Twig)", 0, 0, 0, 0, 0, 0, 13, 0, 5, 18
"c:\Users\wildm\Desktop\Class\Greenwich\WEB301\Assignment\GCH1002-Web301-Assignment-ShoppingCart\ShoppingCart\templates\security\login.html.twig", "HTML (Twig)", 0, 0, 0, 0, 0, 0, 26, 10, 9, 45
"c:\Users\wildm\Desktop\Class\Greenwich\WEB301\Assignment\GCH1002-Web301-Assignment-ShoppingCart\ShoppingCart\templates\user\add.html.twig", "HTML (Twig)", 0, 0, 0, 0, 0, 0, 6, 7, 3, 16
"c:\Users\wildm\Desktop\Class\Greenwich\WEB301\Assignment\GCH1002-Web301-Assignment-ShoppingCart\ShoppingCart\templates\user\index.html.twig", "HTML (Twig)", 0, 0, 0, 0, 0, 0, 34, 5, 3, 42
"c:\Users\wildm\Desktop\Class\Greenwich\WEB301\Assignment\GCH1002-Web301-Assignment-ShoppingCart\ShoppingCart\tests\bootstrap.php", "PHP", 8, 0, 0, 0, 0, 0, 0, 0, 4, 12
"Total", "-", 2669, 15, 1057, 243, 749, 10151, 682, 749, 1216, 17531
